experiment,pipeline,strategy,P,fold_id,model,hyperparams,task_id,subject_acc,n_subjects_fold,epoch_acc,n_epochs_fold,subject_minus_epoch
ANOVA_L_6_Random,FTest,Random-50,6,sub-9_sub-26_sub-29_sub-39_sub-44_sub-65,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_48_1332,1.0,6,0.715067611075338,3106,0.284932388924662
ANOVA_L_6_Random,FTest,Random-50,6,sub-9_sub-26_sub-29_sub-39_sub-44_sub-65,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_48_7919,1.0,6,0.733419188667096,3106,0.266580811332904
ANOVA_L_6_Random,FTest,Random-50,6,sub-9_sub-26_sub-29_sub-39_sub-44_sub-65,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_48_1322,1.0,6,0.6538956857694784,3106,0.34610431423052157
ANOVA_L_6_Random,FTest,Random-50,6,sub-10_sub-28_sub-35_sub-49_sub-51_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_2_1332,0.8333333333333334,6,0.654872563718141,3335,0.17846076961519242
ANOVA_L_6_Random,FTest,Random-50,6,sub-10_sub-28_sub-35_sub-49_sub-51_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_2_7919,0.8333333333333334,6,0.6656671664167916,3335,0.1676661669165418
ANOVA_L_6_Random,FTest,Random-50,6,sub-10_sub-28_sub-35_sub-49_sub-51_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_2_1322,0.8333333333333334,6,0.6209895052473763,3335,0.2123438280859571
ANOVA_L_6_Random,FTest,Random-50,6,sub-3_sub-26_sub-30_sub-40_sub-52_sub-63,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_25_1332,1.0,6,0.7014645137063462,2663,0.2985354862936538
ANOVA_L_6_Random,FTest,Random-50,6,sub-3_sub-26_sub-30_sub-40_sub-52_sub-63,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_25_7919,1.0,6,0.7127300037551634,2663,0.2872699962448366
ANOVA_L_6_Random,FTest,Random-50,6,sub-3_sub-26_sub-30_sub-40_sub-52_sub-63,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_25_1322,1.0,6,0.655276004506196,2663,0.34472399549380395
ANOVA_L_6_Random,FTest,Random-50,6,sub-6_sub-9_sub-11_sub-40_sub-55_sub-64,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_40_7919,0.8333333333333334,6,0.7033378746594006,2936,0.1299954586739328
