experiment,experiment_type,feature_set,holdout_size_P,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-2_sub-7_sub-14_sub-19_sub-23_sub-25,task_KNN_16_6676,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.595220497659522,0.8921663442940039
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-2_sub-7_sub-14_sub-19_sub-23_sub-25,task_KNN_16_3978,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5900468095590047,0.9038408400110528
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-2_sub-7_sub-14_sub-19_sub-23_sub-25,task_KNN_16_9872,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5703375215570338,1.0
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-3_sub-4_sub-12_sub-16_sub-25_sub-26,task_KNN_22_3978,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6341638715860086,0.9110089826613745
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-3_sub-4_sub-12_sub-16_sub-25_sub-26,task_KNN_22_9872,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5821753713464303,1.0
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-3_sub-4_sub-12_sub-16_sub-25_sub-26,task_KNN_22_6676,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6456636320076665,0.8926258617087947
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-2_sub-11_sub-18_sub-19_sub-26,task_KNN_0_6676,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5468068735573224,0.9007242415960645
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-2_sub-11_sub-18_sub-19_sub-26,task_KNN_0_9872,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5432162092844319,1.0
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-2_sub-11_sub-18_sub-19_sub-26,task_KNN_0_3978,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5416773531674789,0.9187619568188029
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-9_sub-11_sub-15_sub-20_sub-27,task_KNN_37_6676,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.49181237857341104,0.900415215644254
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-9_sub-11_sub-15_sub-20_sub-27,task_KNN_37_3978,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.49375520399666945,0.9142780605411197
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-9_sub-11_sub-15_sub-20_sub-27,task_KNN_37_9872,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.49597557590896474,1.0
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-3_sub-9_sub-13_sub-16_sub-23_sub-25,task_KNN_31_6676,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5680335507921714,0.8862599171522854
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-3_sub-9_sub-13_sub-16_sub-23_sub-25,task_KNN_31_3978,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5615097856477167,0.9007231622551429
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-3_sub-9_sub-13_sub-16_sub-23_sub-25,task_KNN_31_9872,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.543336439888164,1.0
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-11_sub-12_sub-16_sub-25_sub-28,task_KNN_40_6676,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6332338765205416,0.9037946113697277
ANOVA_L_6_SCZ,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-11_sub-12_sub-16_sub-25_sub-28,task_KNN_40_9872,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5946752352536149,1.0
