experiment,experiment_type,feature_set,holdout_size_P,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-9_sub-26_sub-29_sub-39_sub-44_sub-65,task_KNN_48_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.715067611075338,0.8880018100717564
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-9_sub-26_sub-29_sub-39_sub-44_sub-65,task_KNN_48_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.733419188667096,0.8714525825845238
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-9_sub-26_sub-29_sub-39_sub-44_sub-65,task_KNN_48_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6538956857694784,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-28_sub-35_sub-49_sub-51_sub-60,task_KNN_2_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.654872563718141,0.8945911622000066
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-28_sub-35_sub-49_sub-51_sub-60,task_KNN_2_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6656671664167916,0.8770393044384382
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-28_sub-35_sub-49_sub-51_sub-60,task_KNN_2_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6209895052473763,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-3_sub-26_sub-30_sub-40_sub-52_sub-63,task_KNN_25_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7014645137063462,0.8900289984385457
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-3_sub-26_sub-30_sub-40_sub-52_sub-63,task_KNN_25_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7127300037551634,0.8733947292947962
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-3_sub-26_sub-30_sub-40_sub-52_sub-63,task_KNN_25_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.655276004506196,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-6_sub-9_sub-11_sub-40_sub-55_sub-64,task_KNN_40_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7033378746594006,0.8745660280313746
